"","","現金","","晚餐","","餐飲 > 餐飲/外食","2022/07/02","上午9:49","","-340","TWD",""
"","","現金","","乖寶紅包","","養小孩","2022/31/01","下午3:27","","-600","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2022/31/01","下午3:25","","5,000","TWD",""
"","","現金","","爸媽紅包","","人情往來 > 尊親","2022/31/01","下午3:23","","-24,000","TWD",""
"","","現金","","飲料","","餐飲 > 餐飲/外食","2022/31/01","下午3:22","","-75","TWD",""
"","","現金","","Pchome 代買","媽媽","還錢給款","2022/30/01","下午3:23","","600","TWD",""
"","","現金","","costco幫出","鼻鼻","還錢給款","2022/28/01","下午3:24","","2,000","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2022/23/01","上午10:34","","-240","TWD",""
"","","現金","","乖寶紅包","姑姑","其他 > 其他","2022/21/01","下午3:27","","16,800","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2022/19/01","下午3:26","","2,000","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2022/19/01","下午2:56","","-165","TWD",""
"","","現金","","烤鴨","","餐飲 > 餐飲/外食","2022/16/01","下午4:48","","-520","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2022/15/01","下午4:47","","-205","TWD",""
"","","現金","","剪髮","","生活 > 日用生活品","2022/14/01","下午4:49","","-100","TWD",""
"","","現金","","羊肉爐湯底","","餐飲 > 雜貨","2022/13/01","下午6:45","","-280","TWD",""
"","","現金","","滷味","","餐飲 > 餐飲/外食","2021/27/12","下午9:01","","-100","TWD",""
"","","現金","","薑母鴨湯底","","餐飲 > 雜貨","2021/25/12","下午8:48","","-280","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/22/12","下午2:04","","-350","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/15/12","下午9:03","","-236","TWD",""
"","","現金","","Costco代買","","還錢給款","2021/14/12","下午9:03","","2,500","TWD",""
"","","現金","","牛肉湯","旗哥","餐飲 > 餐飲/外食","2021/05/12","下午3:15","","-900","TWD",""
"","","現金","","羊肉爐湯底","","餐飲 > 雜貨","2021/03/12","下午5:05","","-280","TWD",""
"","","現金","","輪狀疫苗乖寶","","養小孩","2021/01/12","下午5:05","","-1,280","TWD",""
"","","現金","","停車費","","汽機車 > 停車","2021/27/11","下午11:11","","-60","TWD",""
"","","現金","","早餐","","","2021/26/11","下午2:03","","-70","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/24/11","下午10:36","","-180","TWD",""
"","","現金","","中醫","","養身保健 > 醫療","2021/23/11","下午10:37","","-150","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/20/11","下午4:18","","-250","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/20/11","下午4:18","","-130","TWD",""
"","","現金","","骨科","","生活 > 醫療","2021/19/11","下午4:20","","-180","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/17/11","下午4:19","","-240","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/13/11","下午6:39","","-390","TWD",""
"","","現金","","藍莓代買","豪豪","還錢給款","2021/13/11","下午6:38","","660","TWD",""
"","","現金","","飲料","","餐飲 > 餐飲/外食","2021/12/11","下午4:24","","-25","TWD",""
"","","現金","","洗車-自助洗車","","汽機車 > 其他","2021/12/11","下午4:23","","-500","TWD",""
"","","現金","","新餘額","","","2021/08/11","下午3:53","","-1,013","TWD",""
"","","現金","","午餐＋羊肉爐","源坐羊肉 \w 媽媽","餐飲 > 聚餐","2021/08/11","下午3:46","","-1,430","TWD",""
"","","現金","","東森代買","爸爸","還錢給款","2021/07/11","下午3:43","","1,300","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2021/03/11","下午10:24","","-320","TWD",""
"","","現金","","振興券-眼鏡×2+濾藍光","南紡Jins","生活 > 日用生活品","2021/03/11","下午10:22","total 6066
振興券1000
南紡抵1100
line bank 3966","-1,000","TWD",""
"","","現金","","晚餐早餐","costco","餐飲 > 餐飲/外食","2021/31/10","下午9:07","","-813","TWD",""
"","","現金","","costco入會費","costco","生活 > 日用生活品","2021/31/10","下午9:03","","-1,350","TWD",""
"","","現金","","幫老爸代付衣服","媽媽爸爸","還錢給款","2021/29/10","下午9:06","","600","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/29/10","上午1:19","","-85","TWD",""
"","","現金","","媽媽補助嬰兒車","","子女養育","2021/27/10","下午10:21","","6,000","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2021/27/10","下午9:05","","2,000","TWD",""
"","","現金","","洗車","","汽機車 > 其他","2021/24/10","下午8:45","","-80","TWD",""
"","","現金","","飲料","","餐飲 > 餐飲/外食","2021/24/10","下午8:44","","-276","TWD",""
"","","現金","","停車費","","汽機車 > 停車","2021/22/10","上午10:29","","-20","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2021/17/10","上午10:36","","-200","TWD",""
"","","現金","","高雄牛排 /w 豪姿","","餐飲 > 聚餐","2021/17/10","上午10:32","","-500","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2021/15/10","上午10:34","","2,000","TWD",""
"","","現金","","新餘額","","","2021/13/10","下午8:41","","-39","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/13/10","下午8:33","","-300","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/12/10","下午8:37","","-100","TWD",""
"","","現金","","臭豆腐","","餐飲 > 餐飲/外食","2021/10/10","下午8:40","","-60","TWD",""
"","","現金","","停車費","","汽機車 > 停車","2021/10/10","下午8:40","","-20","TWD",""
"","","現金","","洗車","","汽機車 > 其他","2021/08/10","上午9:11","","-40","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/06/10","下午8:39","","-45","TWD",""
"","","現金","","打流感疫苗","陽光小兒科","養身保健 > 醫療","2021/04/10","下午9:44","","-300","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/29/09","上午12:45","","-55","TWD",""
"","","現金","","麥當勞儲值","","餐飲 > 餐飲/外食","2021/29/09","上午12:44","","-300","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/28/09","上午9:52","","-125","TWD",""
"","","現金","","自費輪狀病毒疫苗","郭綜合醫院","養小孩","2021/27/09","上午12:55","","-2,780","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2021/27/09","上午12:54","","3,000","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2021/24/09","下午11:25","","-1,230","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/22/09","下午5:37","","-240","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/19/09","上午10:03","","-65","TWD",""
"","","現金","國泰世華","自動櫃員機提款","","","2021/18/09","下午5:37","","3,000","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/17/09","下午7:00","","-55","TWD",""
"","","現金","","洗車","","汽機車 > 其他","2021/16/09","下午7:00","","-40","TWD",""
"","","現金","","點心","","餐飲 > 其他","2021/15/09","上午12:57","","-90","TWD",""
"","","現金","","午餐","","餐飲 > 餐飲/外食","2021/15/09","上午12:57","","-580","TWD",""
"","","現金","","新餘額","","","2021/14/09","下午5:53","","152","TWD",""
"","","現金","","洗車用品","","汽機車 > 其他","2021/14/09","下午5:49","","-282","TWD",""
"","","現金","","點心","","餐飲 > 其他","2021/14/09","下午5:43","","-285","TWD",""
"","","現金","","晚餐","","餐飲 > 餐飲/外食","2021/12/09","下午5:52","","-400","TWD",""
"","","現金","","飲料","","餐飲 > 餐飲/外食","2021/11/09","下午8:34","","-84","TWD",""
"","","現金","","點心","","餐飲 > 其他","2021/11/09","下午8:33","","-35","TWD",""
"","","現金","","早餐","","餐飲 > 餐飲/外食","2021/11/09","下午8:33","","-60","TWD",""
